ImageID,SourceSplit,CandidateCategory,MatchedClasses,Subset,OriginalURL,OriginalLandingURL,License,AuthorProfileURL,Author,Title,OriginalSize,OriginalMD5,Thumbnail300KURL,Rotation,SourceDataset,RealSynthetic,IsNegativeCandidate,ReviewStatus,NegativeBatch,IsNegative,CanonicalClass,CanonicalPlateInstanceCount
000b14e4ee4a2b2b,test,heavy_equipment_candidate,Truck,test,https://c4.staticflickr.com/9/8076/8425490694_a222c17be5_o.jpg,https://www.flickr.com/photos/76969036@N02/8425490694,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/76969036@N02/,David Guo,gmc_08sierra2500crewcab_angularfront_Large,44061,owo6r94uqqiLrDNDLsR8BA==,,,open_images_v7,REAL,True,accepted_negative,1,True,license_plate,0
00a9f1817594f581,test,vehicle_no_visible_plate_candidate,Car,test,https://farm2.staticflickr.com/3227/3141821008_4ae1b1fff1_o.jpg,https://www.flickr.com/photos/infrogmation/3141821008,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/infrogmation/,Infrogmation of New Orleans,The Curious Cars of Benjamin Button: 1932 Packard,2775115,YlAi70pnSfwVGR/irZ5s7Q==,https://c1.staticflickr.com/4/3227/3141821008_3743fb8be5_z.jpg,0.0,open_images_v7,REAL,True,accepted_negative,1,True,license_plate,0
0135b7a0b1010c08,test,road_gate_scene,Traffic light;Traffic sign,test,https://c1.staticflickr.com/2/1151/3172402038_8e7a50e088_o.jpg,https://www.flickr.com/photos/sarahvain/3172402038,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/sarahvain/,Sarah Stierch,Biggest road sign ever,175022,R3LTiKCw20/eIG/w9oSk2w==,https://c5.staticflickr.com/2/1151/3172402038_961a5f1a05_z.jpg?zz=1,0.0,open_images_v7,REAL,True,accepted_negative,1,True,license_plate,0
01d3fdb0f6383edb,validation,road_gate_scene,Traffic sign,validation,https://c4.staticflickr.com/1/335/19312058842_6fe292fb82_o.jpg,https://www.flickr.com/photos/94444025@N07/19312058842,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/94444025@N07/,SKR_RGR,Fuego,4694133,clWQV0Zl+bzLBP3BwrdKSA==,https://c4.staticflickr.com/1/335/19312058842_feb751de12_z.jpg,0.0,open_images_v7,REAL,True,accepted_negative,1,True,license_plate,0
01e835e68b6af93d,test,road_gate_scene,Traffic sign,test,https://c6.staticflickr.com/4/3377/3274992844_8ecf2b9f04_o.jpg,https://www.flickr.com/photos/haggismac/3274992844,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/haggismac/,Sean Loyless,No Outlet,1403427,O3JwRq5SrJTL1GGappyzlA==,https://c7.staticflickr.com/4/3377/3274992844_2f157cefdd_z.jpg,0.0,open_images_v7,REAL,True,accepted_negative,1,True,license_plate,0
02a874da512add8d,test,vehicle_no_visible_plate_candidate,Car,test,https://c6.staticflickr.com/8/7480/15762538938_47be1508c6_o.jpg,https://www.flickr.com/photos/62459458@N08/15762538938,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/62459458@N08/,Jeremy Buckingham,Jeremy Buckingham and Tesla Model S,6420507,XXzxcNJuY0lCT2NsbBj5Yg==,https://c1.staticflickr.com/8/7480/15762538938_0f067fcc3c_z.jpg,0.0,open_images_v7,REAL,True,accepted_negative,1,True,license_plate,0
02dd78f664219bde,test,road_gate_scene,Traffic light,test,https://c7.staticflickr.com/3/2574/3986418765_ec6da99631_o.jpg,https://www.flickr.com/photos/zieak/3986418765,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/zieak/,Ryan McFarland,China - bike traffic signals,333721,XfCC5IgxkbTP6CCO4horUg==,https://c5.staticflickr.com/3/2574/3986418765_25dce74675_z.jpg,0.0,open_images_v7,REAL,True,accepted_negative,1,True,license_plate,0
03390446d74c6576,test,road_gate_scene,Traffic sign,test,https://farm7.staticflickr.com/5282/5272313176_7fb310f6eb_o.jpg,https://www.flickr.com/photos/polarity/5272313176,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/polarity/,Robert Agthe,Tram Büschingstraße,2361814,9KH9+RPLpXn0jm8Tw0xSxA==,https://c6.staticflickr.com/6/5282/5272313176_51c98bf261_z.jpg,0.0,open_images_v7,REAL,True,accepted_negative,1,True,license_plate,0
03d45f0207d68aa2,test,road_gate_scene,Traffic light;Traffic sign,test,https://farm3.staticflickr.com/3640/3576366805_eea15333d5_o.jpg,https://www.flickr.com/photos/istanbul_photos/3576366805,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/istanbul_photos/,Istanbul Photo Guide,U  turn to Tophane,164100,g4MKVkMcvwrX9urQARBR4Q==,https://c1.staticflickr.com/4/3640/3576366805_58c7b58b30_z.jpg?zz=1,0.0,open_images_v7,REAL,True,accepted_negative,1,True,license_plate,0
043e49649e58ac7f,test,vehicle_no_visible_plate_candidate,Car,test,https://c8.staticflickr.com/1/372/19637827900_bdb5599708_o.jpg,https://www.flickr.com/photos/111145833@N05/19637827900,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/111145833@N05/,Emergency Vehicles,Toronto Police Suburban,1239326,Z04BOGzvg7OXdpUftpPQmA==,https://c1.staticflickr.com/1/372/19637827900_0a0d53b3bf_z.jpg,0.0,open_images_v7,REAL,True,accepted_negative,1,True,license_plate,0
