source_dataset,source_group,source_split,filename,source_image_path,image_width,image_height,plate_instance_count,real_synthetic,allowed_split,canonical_class,review_status
kaggle_plate_license_recognition,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg,train,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.096311dfc6c9b41269153e9454ebd2aa.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.096311dfc6c9b41269153e9454ebd2aa.jpg,640,640,1,REAL,TRAIN_ONLY,license_plate,accepted_training_positive
kaggle_plate_license_recognition,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg,train,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.4bc24ac6dfc7853e64b9d5cc039cc943.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.4bc24ac6dfc7853e64b9d5cc039cc943.jpg,640,640,3,REAL,TRAIN_ONLY,license_plate,reject_mosaic_collage
kaggle_plate_license_recognition,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg,train,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.8d4b93d2db307b357d423d2bf2a5caa4.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.8d4b93d2db307b357d423d2bf2a5caa4.jpg,640,640,4,REAL,TRAIN_ONLY,license_plate,reject_mosaic_collage
kaggle_plate_license_recognition,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg,train,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.c8f51d54b911dd1beca136aba5b6cfee.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.c8f51d54b911dd1beca136aba5b6cfee.jpg,640,640,1,REAL,TRAIN_ONLY,license_plate,accepted_training_positive
kaggle_plate_license_recognition,0025288e6192dc18_jpg,valid,0025288e6192dc18_jpg.rf.5bd34e8f279a8c0bea42bbf03f88bad5.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/valid/0025288e6192dc18_jpg.rf.5bd34e8f279a8c0bea42bbf03f88bad5.jpg,640,640,1,REAL,TRAIN_ONLY,license_plate,reject_plate_or_ocr_crop
kaggle_plate_license_recognition,00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg,valid,00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg.rf.2823ddf08ff2682720bbfd7e6f9e100f.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/valid/00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg.rf.2823ddf08ff2682720bbfd7e6f9e100f.jpg,640,640,3,REAL,TRAIN_ONLY,license_plate,reject_mosaic_collage
kaggle_plate_license_recognition,00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg,train,00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg.rf.9fb7854852a0ddcf6fbd2ed8197fd212.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg.rf.9fb7854852a0ddcf6fbd2ed8197fd212.jpg,640,640,1,REAL,TRAIN_ONLY,license_plate,accepted_training_positive
kaggle_plate_license_recognition,00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg,train,00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg.rf.cb6fa1912142b36bbae6b1351e0c77ba.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg.rf.cb6fa1912142b36bbae6b1351e0c77ba.jpg,640,640,3,REAL,TRAIN_ONLY,license_plate,reject_mosaic_collage
kaggle_plate_license_recognition,006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg,train,006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg.rf.2326adca7d0b5acad84de1b79e39d854.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg.rf.2326adca7d0b5acad84de1b79e39d854.jpg,640,640,1,REAL,TRAIN_ONLY,license_plate,accepted_training_positive
kaggle_plate_license_recognition,006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg,train,006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg.rf.7a66c9046d484ae30d1ff217bdd234e8.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg.rf.7a66c9046d484ae30d1ff217bdd234e8.jpg,640,640,1,REAL,TRAIN_ONLY,license_plate,accepted_training_positive
kaggle_plate_license_recognition,00a8d9ab7c3b9c0e2_jpg,train,00a8d9ab7c3b9c0e2_jpg.rf.5190153ceb91b68bb698d101ae13e23a.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00a8d9ab7c3b9c0e2_jpg.rf.5190153ceb91b68bb698d101ae13e23a.jpg,640,640,1,REAL,TRAIN_ONLY,license_plate,reject_plate_or_ocr_crop
kaggle_plate_license_recognition,00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg,train,00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg.rf.52606ce35a980455b7d5801788a4bac3.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg.rf.52606ce35a980455b7d5801788a4bac3.jpg,640,640,4,REAL,TRAIN_ONLY,license_plate,reject_mosaic_collage
kaggle_plate_license_recognition,00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg,train,00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg.rf.9c5018a2cb99039c2ab16fcafb9144fb.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg.rf.9c5018a2cb99039c2ab16fcafb9144fb.jpg,640,640,1,REAL,TRAIN_ONLY,license_plate,accepted_training_positive
kaggle_plate_license_recognition,00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg,valid,00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg.rf.e96a9a27c5e9e28ab0f4b8cc6461d8b9.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/valid/00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg.rf.e96a9a27c5e9e28ab0f4b8cc6461d8b9.jpg,640,640,1,REAL,TRAIN_ONLY,license_plate,accepted_training_positive
kaggle_plate_license_recognition,00b6f96c840767fa_jpg,valid,00b6f96c840767fa_jpg.rf.4942e96bb14180d24d585c3e7132402f.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/valid/00b6f96c840767fa_jpg.rf.4942e96bb14180d24d585c3e7132402f.jpg,640,640,1,REAL,TRAIN_ONLY,license_plate,reject_plate_or_ocr_crop
kaggle_plate_license_recognition,00bc6c35-3eec-4fb5-bdd3-e5d8656b014f_jpg,train,00bc6c35-3eec-4fb5-bdd3-e5d8656b014f_jpg.rf.3e3fc093e285f5860082d385bfb8d68a.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00bc6c35-3eec-4fb5-bdd3-e5d8656b014f_jpg.rf.3e3fc093e285f5860082d385bfb8d68a.jpg,640,640,3,REAL,TRAIN_ONLY,license_plate,reject_mosaic_collage
kaggle_plate_license_recognition,00bc6c35-3eec-4fb5-bdd3-e5d8656b014f_jpg,train,00bc6c35-3eec-4fb5-bdd3-e5d8656b014f_jpg.rf.9fb570a8c76c37b40fb667f50e11fdd8.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00bc6c35-3eec-4fb5-bdd3-e5d8656b014f_jpg.rf.9fb570a8c76c37b40fb667f50e11fdd8.jpg,640,640,1,REAL,TRAIN_ONLY,license_plate,accepted_training_positive
kaggle_plate_license_recognition,00bc6c35-3eec-4fb5-bdd3-e5d8656b014f_jpg,train,00bc6c35-3eec-4fb5-bdd3-e5d8656b014f_jpg.rf.ac91e08476b3cd05fc394321c9d4509e.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00bc6c35-3eec-4fb5-bdd3-e5d8656b014f_jpg.rf.ac91e08476b3cd05fc394321c9d4509e.jpg,640,640,3,REAL,TRAIN_ONLY,license_plate,reject_mosaic_collage
kaggle_plate_license_recognition,00c2cca1-854e-465b-88c9-035e56207a76_jpg,test,00c2cca1-854e-465b-88c9-035e56207a76_jpg.rf.37363319ad14c51b17516ef85f36dabd.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/test/00c2cca1-854e-465b-88c9-035e56207a76_jpg.rf.37363319ad14c51b17516ef85f36dabd.jpg,640,640,3,REAL,TRAIN_ONLY,license_plate,reject_mosaic_collage
kaggle_plate_license_recognition,00c86d7c-4764-4f2c-aa1d-578d73e83f9e_jpg,train,00c86d7c-4764-4f2c-aa1d-578d73e83f9e_jpg.rf.43b5ad98f1ed06108838a1bf77761be0.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00c86d7c-4764-4f2c-aa1d-578d73e83f9e_jpg.rf.43b5ad98f1ed06108838a1bf77761be0.jpg,640,640,3,REAL,TRAIN_ONLY,license_plate,reject_mosaic_collage
kaggle_plate_license_recognition,00c86d7c-4764-4f2c-aa1d-578d73e83f9e_jpg,train,00c86d7c-4764-4f2c-aa1d-578d73e83f9e_jpg.rf.4957e3847f318d93039d3bbb2c48f263.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00c86d7c-4764-4f2c-aa1d-578d73e83f9e_jpg.rf.4957e3847f318d93039d3bbb2c48f263.jpg,640,640,1,REAL,TRAIN_ONLY,license_plate,accepted_training_positive
kaggle_plate_license_recognition,00eb7652-4abf-462c-b1ee-ff1c3623c7cc_jpg,train,00eb7652-4abf-462c-b1ee-ff1c3623c7cc_jpg.rf.ea6478abb9290fc3cb6731ddeeaad109.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/train/00eb7652-4abf-462c-b1ee-ff1c3623c7cc_jpg.rf.ea6478abb9290fc3cb6731ddeeaad109.jpg,640,640,3,REAL,TRAIN_ONLY,license_plate,reject_mosaic_collage
kaggle_plate_license_recognition,00f30ef5-1e8a-4a89-ac87-b9a5905582ec_jpg,valid,00f30ef5-1e8a-4a89-ac87-b9a5905582ec_jpg.rf.e8eabfba685fa1db6384a7192243aed6.jpg,AI/PlateDetector/datasets/raw/kaggle_plate_license_recognition/valid/00f30ef5-1e8a-4a89-ac87-b9a5905582ec_jpg.rf.e8eabfba685fa1db6384a7192243aed6.jpg,640,640,1,REAL,TRAIN_ONLY,license_plate,accepted_training_positive
