ImageID,SourceSplit,CandidateCategory,MatchedClasses,Subset,OriginalURL,OriginalLandingURL,License,AuthorProfileURL,Author,Title,OriginalSize,OriginalMD5,Thumbnail300KURL,Rotation,SourceDataset,RealSynthetic,IsNegativeCandidate,NegativeBatch,ReviewStatus
b3ca82ba52c64268,validation,heavy_equipment_candidate,Truck,validation,https://c1.staticflickr.com/4/3770/18941301313_522ec78e40_o.jpg,https://www.flickr.com/photos/thebackroadphotogragher/18941301313,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/thebackroadphotogragher/,The Back Road Photographer,Can-US KW (1 of 1),3348953,3ab4qmArCG0zscCZdVsZgg==,https://c4.staticflickr.com/4/3770/18941301313_34a67a4fe2_z.jpg,0.0,open_images_v7,REAL,True,2,accepted_negative
fca4cd2009062d62,validation,heavy_equipment_candidate,Truck,validation,https://c6.staticflickr.com/1/174/477520990_b499a9b33e_o.jpg,https://www.flickr.com/photos/ivymike/477520990/,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/ivymike/,IvyMike,STI + Anime,163002,TWut1tjq0LDG+fYeMTBNaQ==,https://c6.staticflickr.com/1/174/477520990_a27ddfc519_z.jpg?zz=1,0.0,open_images_v7,REAL,True,2,accepted_negative
d94a6b2ca406b901,validation,vehicle_no_visible_plate_candidate,Car,validation,https://farm2.staticflickr.com/1/126924286_9a7adf1cca_o.jpg,https://www.flickr.com/photos/bigtallguy/126924286,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/bigtallguy/,Paul Reynolds,FXCD0096,209527,v+I+sLTuhGasKqVQt+3WtA==,https://c8.staticflickr.com/1/1/126924286_9a7adf1cca_z.jpg?zz=1,0.0,open_images_v7,REAL,True,2,accepted_negative
7e053c66ad3bd97f,validation,vehicle_no_visible_plate_candidate,Car,validation,https://c8.staticflickr.com/8/7318/16332420797_6c02b2dc63_o.jpg,https://www.flickr.com/photos/stradablog/16332420797,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/stradablog/,Tino Rossini,SAM_1582,248323,L+vo4kMvXWJnVOcPRtDCfA==,https://c1.staticflickr.com/8/7318/16332420797_02bf81c163_z.jpg,0.0,open_images_v7,REAL,True,2,accepted_negative
508f014e0f11cb8c,validation,road_gate_scene,Parking meter,validation,https://c5.staticflickr.com/3/2482/4056523501_e0e7418d1e_o.jpg,https://www.flickr.com/photos/virtualsugar/4056523501,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/virtualsugar/,John Martinez Pavliga,IMG_5452,1291616,rGA9WRQ8znbxiqiSHJ7JGA==,https://c7.staticflickr.com/3/2482/4056523501_12f5a247bd_z.jpg,0.0,open_images_v7,REAL,True,2,accepted_negative
d7f53caf2912bc62,validation,heavy_equipment_candidate,Truck,validation,https://farm3.staticflickr.com/1145/4599328887_919f648ac2_o.jpg,https://www.flickr.com/photos/artberri/4599328887,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/artberri/,Alberto Varela,7º Trial Erandio 4x4,4562962,v/p//zjV2kRaCo2qHvywow==,https://c7.staticflickr.com/2/1145/4599328887_3f3716f4b3_z.jpg,0.0,open_images_v7,REAL,True,2,accepted_negative
644395d01b541528,validation,road_gate_scene,Traffic light;Traffic sign,validation,https://c1.staticflickr.com/5/4125/5026521433_84b3cb1f41_o.jpg,https://www.flickr.com/photos/pravin8/5026521433,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/pravin8/,pravin.premkumar,IMG_3301,2509551,nXS0pRKl0nsToBeh9E4dIQ==,https://c8.staticflickr.com/5/4125/5026521433_6bcd404cb0_z.jpg,0.0,open_images_v7,REAL,True,2,accepted_negative
96b9ed5a3a9ba21e,validation,heavy_equipment_candidate,Truck,validation,https://c7.staticflickr.com/8/7273/7152800557_4023d97881_o.jpg,https://www.flickr.com/photos/dok1/7152800557,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/dok1/,Don O&#x27;Brien,1964 Chevrolet Pickup,441277,leKQ83/x6smL4wLjlS79cA==,https://c1.staticflickr.com/8/7273/7152800557_2b037fa9f1_z.jpg,0.0,open_images_v7,REAL,True,2,accepted_negative
ff2befe59da64066,validation,vehicle_no_visible_plate_candidate,Car,validation,https://farm7.staticflickr.com/7052/8689792492_b93525c5d2_o.jpg,https://www.flickr.com/photos/kylepheland/8689792492,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/kylepheland/,kylepheland,IMG_0203,726368,RWhpjHfbn5gEpLf5HQL8qw==,https://c2.staticflickr.com/8/7052/8689792492_1133d9c292_z.jpg,,open_images_v7,REAL,True,2,accepted_negative
f135d16c281fe649,validation,vehicle_no_visible_plate_candidate,Motorcycle,validation,https://c2.staticflickr.com/3/2389/2271806940_8fcbb6504b_o.jpg,https://www.flickr.com/photos/barretthall/2271806940,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/barretthall/,popofatticus,dawg hawg,1895659,4Xpe6EwpbieGXwjPGRyNwA==,https://c8.staticflickr.com/3/2389/2271806940_e8c1ef8d0d_z.jpg,0.0,open_images_v7,REAL,True,2,accepted_negative
