source_dataset,source_split,image_id,source_image_name,source_label_name,box_index,class_id,x_center_raw,y_center_raw,width_raw,height_raw,x_min_raw,y_min_raw,x_max_raw,y_max_raw,requires_clipping,non_clippable,overshoot,overshoot_bucket,x_min_clipped,y_min_clipped,x_max_clipped,y_max_clipped,width_clipped,height_clipped,real_synthetic,is_negative,canonical_class
open_images_v7,train,00009e5b390986a0,00009e5b390986a0.jpg,00009e5b390986a0.txt,1,0,0.4805078125,0.8983397565982405,0.04124999999999995,0.030018999999999924,0.45988281250000007,0.8833302565982405,0.5011328125,0.9133492565982405,False,False,0.0,valid,0.45988281250000007,0.8833302565982405,0.5011328125,0.9133492565982405,0.0412499999999999,0.030019000000000018,REAL,False,license_plate
open_images_v7,train,00009e5b390986a0,00009e5b390986a0.jpg,00009e5b390986a0.txt,2,0,0.9905859375,0.7705236539589442,0.01375000000000004,0.018762000000000074,0.9837109374999999,0.7611426539589441,0.9974609375000001,0.7799046539589443,False,False,0.0,valid,0.9837109374999999,0.7611426539589441,0.9974609375000001,0.7799046539589443,0.013750000000000151,0.018762000000000167,REAL,False,license_plate
open_images_v7,train,000228608388803f,000228608388803f.jpg,000228608388803f.txt,1,0,0.2428515625,0.8111975833333332,0.12874999999999998,0.08250000000000002,0.17847656250000002,0.7699475833333332,0.3072265625,0.8524475833333333,False,False,0.0,valid,0.17847656250000002,0.7699475833333332,0.3072265625,0.8524475833333333,0.12875,0.08250000000000002,REAL,False,license_plate
open_images_v7,train,00043e7c5c4c025a,00043e7c5c4c025a.jpg,00043e7c5c4c025a.txt,1,0,0.804609375,0.5358850833333334,0.07500000000000007,0.06750000000000005,0.767109375,0.5021350833333333,0.8421093749999999,0.5696350833333335,False,False,0.0,valid,0.767109375,0.5021350833333333,0.8421093749999999,0.5696350833333335,0.07499999999999996,0.06750000000000012,REAL,False,license_plate
open_images_v7,train,0005ea10e0e14db1,0005ea10e0e14db1.jpg,0005ea10e0e14db1.txt,1,0,0.8772784375,0.40282267496339674,0.06184900000000004,0.040038999999999984,0.8463539375,0.3828031749633968,0.9082029375,0.4228421749633967,False,False,0.0,valid,0.8463539375,0.3828031749633968,0.9082029375,0.4228421749633967,0.06184900000000004,0.040038999999999936,REAL,False,license_plate
open_images_v7,train,0006dc0977056410,0006dc0977056410.jpg,0006dc0977056410.txt,1,0,0.441484375,0.7267341327800829,0.10562500000000002,0.025249000000000056,0.388671875,0.7141096327800829,0.49429687499999997,0.739358632780083,False,False,0.0,valid,0.388671875,0.7141096327800829,0.49429687499999997,0.739358632780083,0.10562499999999997,0.025249000000000077,REAL,False,license_plate
open_images_v7,train,00071c51c8e92a68,00071c51c8e92a68.jpg,00071c51c8e92a68.txt,1,0,0.7699479166666666,0.67,0.15437500000000007,0.09375,0.6927604166666665,0.623125,0.8471354166666667,0.716875,False,False,0.0,valid,0.6927604166666665,0.623125,0.8471354166666667,0.716875,0.15437500000000015,0.09375,REAL,False,license_plate
open_images_v7,train,00072b81abc72d21,00072b81abc72d21.jpg,00072b81abc72d21.txt,1,0,0.2845703125,0.873529918128655,0.057499999999999996,0.02059899999999993,0.2558203125,0.863230418128655,0.3133203125,0.883829418128655,False,False,0.0,valid,0.2558203125,0.863230418128655,0.3133203125,0.883829418128655,0.057499999999999996,0.020599000000000034,REAL,False,license_plate
open_images_v7,train,000812dcf304a8e7,000812dcf304a8e7.jpg,000812dcf304a8e7.txt,1,0,0.4388671875,0.8126315434298442,0.08437500000000003,0.04062799999999995,0.39667968749999993,0.7923175434298443,0.4810546875,0.8329455434298442,False,False,0.0,valid,0.39667968749999993,0.7923175434298443,0.4810546875,0.8329455434298442,0.08437500000000009,0.040627999999999886,REAL,False,license_plate
open_images_v7,train,000883b46adeca7e,000883b46adeca7e.jpg,000883b46adeca7e.txt,1,0,0.848671875,0.7689664256144889,0.09000000000000008,0.1118470000000001,0.8036718749999999,0.7130429256144889,0.893671875,0.8248899256144889,False,False,0.0,valid,0.8036718749999999,0.7130429256144889,0.893671875,0.8248899256144889,0.09000000000000008,0.11184700000000003,REAL,False,license_plate
