ImageID,LocalKaggleSplit,LocalFileName,OpenImagesSplit,OriginalURL,OriginalLandingURL,License,AuthorProfileURL,Author,Title,SourceMetadataURL
00009e5b390986a0,train,00009e5b390986a0.jpg,train,https://farm1.staticflickr.com/3609/3338003957_691f6c0186_o.jpg,https://www.flickr.com/photos/rictor-and-david/3338003957,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/rictor-and-david/,Rictor Norton  &amp; David Allen,Cookham,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
000228608388803f,train,000228608388803f.jpg,train,https://c8.staticflickr.com/6/5495/11528323225_502982b2d0_o.jpg,https://www.flickr.com/photos/nzcarfreak/11528323225,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/nzcarfreak/,Riley,1993 Rover 114,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
00043e7c5c4c025a,train,00043e7c5c4c025a.jpg,train,https://c3.staticflickr.com/3/2701/4143595011_5eae1a4ddb_o.jpg,https://www.flickr.com/photos/msvg/4143595011,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/msvg/,Michael Gil,Foggy Morning.,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
0005ea10e0e14db1,train,0005ea10e0e14db1.jpg,train,https://farm2.staticflickr.com/3107/2651680708_53048533e6_o.jpg,https://www.flickr.com/photos/d_lee/2651680708,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/d_lee/,lmnop88a,IMG_1363,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
0006dc0977056410,train,0006dc0977056410.jpg,train,https://farm1.staticflickr.com/4064/4493125470_c6f23a08cf_o.jpg,https://www.flickr.com/photos/didbygraham/4493125470,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/didbygraham/,Graham Richardson,Monks & Crane DX07OCB,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
00071c51c8e92a68,train,00071c51c8e92a68.jpg,train,https://c1.staticflickr.com/8/7618/16835211777_7006cc6bfc_o.jpg,https://www.flickr.com/photos/sjoerdlammers/16835211777,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/sjoerdlammers/,Sjoerd Lammers,Sjoerd Lammers street photography,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
00072b81abc72d21,train,00072b81abc72d21.jpg,train,https://farm2.staticflickr.com/7406/9428057556_75f20e1c5f_o.jpg,https://www.flickr.com/photos/97930879@N02/9428057556,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/97930879@N02/,tommy japan,8333426694_3831384705_o,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
000812dcf304a8e7,train,000812dcf304a8e7.jpg,train,https://farm8.staticflickr.com/8090/8561307304_cacfe151e2_o.jpg,https://www.flickr.com/photos/thoseguys119/8561307304,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/thoseguys119/,ThoseGuys119,First Student #125,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
000883b46adeca7e,train,000883b46adeca7e.jpg,train,https://c7.staticflickr.com/3/2447/3799589580_4b73283f92_o.jpg,https://www.flickr.com/photos/39302751@N06/3799589580,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/39302751@N06/,Spanish Coches,Volkswagen Golf LX MKI [Typ 17],https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
0009c4ddcaab18d3,train,0009c4ddcaab18d3.jpg,train,https://farm4.staticflickr.com/8506/8431486042_b6cb998547_o.jpg,https://www.flickr.com/photos/8058098@N07/8431486042,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/8058098@N07/,nakhon100,BMW X6,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
00103aa8df33633a,train,00103aa8df33633a.jpg,train,https://c3.staticflickr.com/6/5495/9542988197_b42624de79_o.jpg,https://www.flickr.com/photos/janitors/9542988197,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/janitors/,Kārlis Dambrāns,Range Rover 2013,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
001065dbc46c29c8,train,001065dbc46c29c8.jpg,train,https://c1.staticflickr.com/8/7627/17019547771_2c8bf775c6_o.jpg,https://www.flickr.com/photos/raver_mikey/17019547771,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/raver_mikey/,Mikey,"Mauldeth Road West, Chorlton",https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
0010f4c10f7ab07e,train,0010f4c10f7ab07e.jpg,train,https://c7.staticflickr.com/3/2514/3932993732_6e05df8e4b_o.jpg,https://www.flickr.com/photos/pnh/3932993732,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/pnh/,Patrick Nielsen Hayden,"Third Avenue looking south, at 55th St",https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
0011d11a6a5ab5ad,train,0011d11a6a5ab5ad.jpg,train,https://c6.staticflickr.com/5/4048/4298603650_c44723ba3f_o.jpg,https://www.flickr.com/photos/didbygraham/4298603650,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/didbygraham/,Graham Richardson,Glendinning M93JTA,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv
