source_dataset,source_split,source_image_name,source_annotation_name,source_sequence,source_frame,source_image_path,source_annotation_path,image_sha256,annotation_sha256,image_width,image_height,xml_width,xml_height,dimension_match,plate_instance_count,object_classes,invalid_box_count,real_synthetic,is_negative,canonical_class,license_reference,readme_reference
romanian_public_lp,train,dayride_type1_001.mp4#t=3.jpg,dayride_type1_001.mp4#t=3.xml,dayride_type1_001.mp4,3,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/images/dayride_type1_001.mp4#t=3.jpg,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/annots/dayride_type1_001.mp4#t=3.xml,fc237b5dc252cb1bee19a74a07bcf12fd45f09c97ab0ac38f38ed29c4759558d,330a6635b33e53446aa6e436e3b363d465a3d1db35b105e8890426779abce201,1280,720,1280,720,True,1,license-plate,0,REAL,False,license_plate,AI/PlateDetector/datasets/raw/romanian_lp/LICENSE,AI/PlateDetector/datasets/raw/romanian_lp/README.md
romanian_public_lp,train,dayride_type1_001.mp4#t=20.jpg,dayride_type1_001.mp4#t=20.xml,dayride_type1_001.mp4,20,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/images/dayride_type1_001.mp4#t=20.jpg,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/annots/dayride_type1_001.mp4#t=20.xml,071803991fd4fc8ac070562f4c61b46e3820963b96c4f5521792da04e27fcb3e,77a522ad70af32451dbb757b267dafd55a120d02c7efcc93c9a3914bb1aa37ec,1280,720,1280,720,True,1,license-plate,0,REAL,False,license_plate,AI/PlateDetector/datasets/raw/romanian_lp/LICENSE,AI/PlateDetector/datasets/raw/romanian_lp/README.md
romanian_public_lp,train,dayride_type1_001.mp4#t=31.jpg,dayride_type1_001.mp4#t=31.xml,dayride_type1_001.mp4,31,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/images/dayride_type1_001.mp4#t=31.jpg,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/annots/dayride_type1_001.mp4#t=31.xml,966152c8794d898cc783a9cc383ecb097bf174c420f39f0800d98649d77ff5db,8b3f123d96b7afa5625ea2fa384271fba10604b4a7ba3680ad8a1e2eb00df2b8,1280,720,1280,720,True,1,license-plate,0,REAL,False,license_plate,AI/PlateDetector/datasets/raw/romanian_lp/LICENSE,AI/PlateDetector/datasets/raw/romanian_lp/README.md
romanian_public_lp,train,dayride_type1_001.mp4#t=32.jpg,dayride_type1_001.mp4#t=32.xml,dayride_type1_001.mp4,32,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/images/dayride_type1_001.mp4#t=32.jpg,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/annots/dayride_type1_001.mp4#t=32.xml,6925f0de653003a6291bc7cad58ec4a2c2c06d5054d7fb10d28bcb4aa78bd963,6e26e7df79dbe0eaa2858bbb21662e92f68daf0a0f6a03da723e27903e481d03,1280,720,1280,720,True,1,license-plate,0,REAL,False,license_plate,AI/PlateDetector/datasets/raw/romanian_lp/LICENSE,AI/PlateDetector/datasets/raw/romanian_lp/README.md
romanian_public_lp,train,dayride_type1_001.mp4#t=33.jpg,dayride_type1_001.mp4#t=33.xml,dayride_type1_001.mp4,33,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/images/dayride_type1_001.mp4#t=33.jpg,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/annots/dayride_type1_001.mp4#t=33.xml,778f0a1c636e9f34a051062245d99280af5b4db27bdf6fa0bf96df136a654e50,f760305cfbace45c70ae9e00950a2f23b2daa284e3cf57fdd2d442d63d0f2a53,1280,720,1280,720,True,1,license-plate,0,REAL,False,license_plate,AI/PlateDetector/datasets/raw/romanian_lp/LICENSE,AI/PlateDetector/datasets/raw/romanian_lp/README.md
romanian_public_lp,valid,dayride_type1_001.mp4#t=37.jpg,dayride_type1_001.mp4#t=37.xml,dayride_type1_001.mp4,37,AI/PlateDetector/datasets/raw/romanian_lp/dataset/valid/images/dayride_type1_001.mp4#t=37.jpg,AI/PlateDetector/datasets/raw/romanian_lp/dataset/valid/annots/dayride_type1_001.mp4#t=37.xml,e9497a2de4f82d95c97ed1534e111c626a025161dd257a7904a0df8c224f5a3a,7fe954888cf0f5a2a601d13808a6dbe10a73c1bf389bd97810eb98d0906f833e,1280,720,1280,720,True,1,license-plate,0,REAL,False,license_plate,AI/PlateDetector/datasets/raw/romanian_lp/LICENSE,AI/PlateDetector/datasets/raw/romanian_lp/README.md
romanian_public_lp,train,dayride_type1_001.mp4#t=56.jpg,dayride_type1_001.mp4#t=56.xml,dayride_type1_001.mp4,56,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/images/dayride_type1_001.mp4#t=56.jpg,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/annots/dayride_type1_001.mp4#t=56.xml,4e419a2687739ba37f25eacc7ab381aed8e808cf18184bb410e2cbfe6e51d62b,c1eb57bd7185e64c39949a926d7b188c425d90dd251499dac51b17583cfd0199,1280,720,1280,720,True,1,license-plate,0,REAL,False,license_plate,AI/PlateDetector/datasets/raw/romanian_lp/LICENSE,AI/PlateDetector/datasets/raw/romanian_lp/README.md
romanian_public_lp,train,dayride_type1_001.mp4#t=83.jpg,dayride_type1_001.mp4#t=83.xml,dayride_type1_001.mp4,83,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/images/dayride_type1_001.mp4#t=83.jpg,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/annots/dayride_type1_001.mp4#t=83.xml,1cf749c08cd3a2254e1d01ffb6e5eaa4e774ba5edfa54680efbe5612dd73fcab,168420b62b8b2fffe319db0ec2547c40982040eda3786ee3ea96515deda483df,1280,720,1280,720,True,1,license-plate,0,REAL,False,license_plate,AI/PlateDetector/datasets/raw/romanian_lp/LICENSE,AI/PlateDetector/datasets/raw/romanian_lp/README.md
romanian_public_lp,train,dayride_type1_001.mp4#t=84.jpg,dayride_type1_001.mp4#t=84.xml,dayride_type1_001.mp4,84,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/images/dayride_type1_001.mp4#t=84.jpg,AI/PlateDetector/datasets/raw/romanian_lp/dataset/train/annots/dayride_type1_001.mp4#t=84.xml,0efd978c9899ed87b5c2301c1839e2ef91ce66a61e5425c1b9b43824824ef04c,3bf569b3aff53812b73da6296e20360ae3f34795995bff92fd1d3830a295bf90,1280,720,1280,720,True,1,license-plate,0,REAL,False,license_plate,AI/PlateDetector/datasets/raw/romanian_lp/LICENSE,AI/PlateDetector/datasets/raw/romanian_lp/README.md
romanian_public_lp,valid,dayride_type1_001.mp4#t=85.jpg,dayride_type1_001.mp4#t=85.xml,dayride_type1_001.mp4,85,AI/PlateDetector/datasets/raw/romanian_lp/dataset/valid/images/dayride_type1_001.mp4#t=85.jpg,AI/PlateDetector/datasets/raw/romanian_lp/dataset/valid/annots/dayride_type1_001.mp4#t=85.xml,6eb9d859bb3c339efb937a330bf1e00cc17abb6318b4e8511306901aa9612082,a2ef6712003faf69e6270cc313098a7484e20ef6034cdf7435f9cae791e8eff2,1280,720,1280,720,True,1,license-plate,0,REAL,False,license_plate,AI/PlateDetector/datasets/raw/romanian_lp/LICENSE,AI/PlateDetector/datasets/raw/romanian_lp/README.md
