source_image_name,source_sequence,source_frame,source_split,plate_instance_count,pixel_min,pixel_max,pixel_mean,pixel_std,is_all_black,is_near_black,is_near_uniform
dayride_type1_001.mp4#t=3.jpg,dayride_type1_001.mp4,3,train,1,31,255,132.68865596064813,62.02631335836535,False,False,False
dayride_type1_001.mp4#t=20.jpg,dayride_type1_001.mp4,20,train,1,34,255,134.82626953125,62.46676523780589,False,False,False
dayride_type1_001.mp4#t=31.jpg,dayride_type1_001.mp4,31,train,1,52,255,145.15245406539353,62.33426964505267,False,False,False
dayride_type1_001.mp4#t=32.jpg,dayride_type1_001.mp4,32,train,1,50,255,145.80014720775463,61.51528083052459,False,False,False
dayride_type1_001.mp4#t=33.jpg,dayride_type1_001.mp4,33,train,1,41,255,141.9410546875,64.05893750134192,False,False,False
dayride_type1_001.mp4#t=37.jpg,dayride_type1_001.mp4,37,valid,1,36,255,141.64315646701388,64.7891574038865,False,False,False
dayride_type1_001.mp4#t=56.jpg,dayride_type1_001.mp4,56,train,1,34,255,144.3044632523148,64.61807063366517,False,False,False
dayride_type1_001.mp4#t=83.jpg,dayride_type1_001.mp4,83,train,1,54,255,147.8006517650463,59.206338328536404,False,False,False
dayride_type1_001.mp4#t=84.jpg,dayride_type1_001.mp4,84,train,1,48,255,146.28352936921297,58.94580202994336,False,False,False
dayride_type1_001.mp4#t=85.jpg,dayride_type1_001.mp4,85,valid,1,47,255,144.22301830150462,59.73675366158822,False,False,False
dayride_type1_001.mp4#t=86.jpg,dayride_type1_001.mp4,86,train,1,39,255,144.0335912181713,61.028766552854535,False,False,False
dayride_type1_001.mp4#t=87.jpg,dayride_type1_001.mp4,87,train,1,35,255,144.27693033854166,61.401462886357216,False,False,False
dayride_type1_001.mp4#t=119.jpg,dayride_type1_001.mp4,119,train,1,35,255,130.8736740451389,60.33826440867775,False,False,False
dayride_type1_001.mp4#t=120.jpg,dayride_type1_001.mp4,120,train,1,38,255,133.65509910300926,60.4433787294457,False,False,False
dayride_type1_001.mp4#t=147.jpg,dayride_type1_001.mp4,147,valid,1,44,255,137.41496708622685,59.0765258883874,False,False,False
dayride_type1_001.mp4#t=148.jpg,dayride_type1_001.mp4,148,train,1,43,255,130.327099609375,54.96819054484481,False,False,False
dayride_type1_001.mp4#t=149.jpg,dayride_type1_001.mp4,149,train,1,38,255,123.17897316261575,52.678457821740146,False,False,False
dayride_type1_001.mp4#t=150.jpg,dayride_type1_001.mp4,150,train,1,38,255,126.77567925347222,55.37987922990307,False,False,False
